timestep,x,y,z,roll,pitch,yaw,phase
68.0,1.3813569740945069,1.881926850094407e-09,3.3170732031953367,-5.483020752181574e-05,-0.12657638983593042,-9.107181779480778e-06,0.0
69.0,1.3722357859804086,2.0649942552239142e-08,3.319957220155898,-5.571606953805698e-05,-0.1282063500727813,-9.539130998881676e-06,0.0
70.0,1.3631149660539563,5.7931294423099454e-08,3.3228406221355336,-5.549225048867543e-05,-0.12992241102035829,-9.930421709210088e-06,0.0
71.0,1.3539940002631892,8.938485453049003e-08,3.325724115416039,-5.4339320372175494e-05,-0.1317193874370931,-1.0279133623325549e-05,0.0
72.0,1.3448729502531787,9.256828933709896e-08,3.328607403126757,-5.2990741294372246e-05,-0.13359381874387039,-1.0590276884840407e-05,0.0
73.0,1.3357520518202177,5.753714324318114e-08,3.331490569119965,-5.240639050367353e-05,-0.13554882505596966,-1.0874464050727838e-05,0.0
74.0,1.3266314921989648,-1.0375065276117061e-09,3.3343739259896097,-5.3127928120361986e-05,-0.13759261325325603,-1.1139790052098714e-05,0.0
75.0,1.317317338855199,-1.4174651857324022e-07,3.3358070822028965,-5.85811710647388e-05,-0.1396292855140693,-1.1722500862702853e-05,0.0
76.0,1.308007324473247,-2.1914387359694746e-07,3.337201977019914,-6.603440091715772e-05,-0.14164619130950648,-1.245706269706389e-05,0.0
77.0,1.298700903025256,-1.6545475336551825e-07,3.338586554604596,-7.187423645560446e-05,-0.14367900914611392,-1.3204825796831862e-05,0.0
78.0,1.2893959283180305,-3.632661917913458e-08,3.3399680492570814,-7.440795087124782e-05,-0.1457464724128328,-1.3934601877363682e-05,0.0
79.0,1.2800918875061098,9.140619425589098e-08,3.341347900203757,-7.378956778855052e-05,-0.14786304951044546,-1.464751752176086e-05,0.0
80.0,1.270788610173259,1.5441136059914312e-07,3.3427278120735973,-7.176764482567555e-05,-0.15004883190375834,-1.539525531358021e-05,0.0
81.0,1.2614863129252303,1.2435982810856153e-07,3.3441083808243532,-7.063251188251983e-05,-0.15233023664030798,-1.6212705529707146e-05,0.0
82.0,1.2521855638279604,2.3940211536179825e-08,3.345488637223895,-7.193132131315749e-05,-0.15473993116084978,-1.7089022105449394e-05,0.0
83.0,1.2428862209886835,-9.403172426138832e-08,3.346868301387709,-7.587240086299923e-05,-0.15730254250754994,-1.7974837114647038e-05,0.0
