Timestamp,drone_x,drone_y,drone_z,payload_x,payload_y,payload_z,round_bar_x,round_bar_y,round_bar_z
1717790535063972682,-203.5569610595703,39.74312973022461,2046.2926025390625,-347.41741943359375,84.19154612223308,1015.2754516601562,-1668.4764404296875,131.86724853515625,1818.8040771484375
1717790535063974750,-205.24813334147134,39.59446461995443,2046.2251790364583,-350.2663269042969,83.01350911458333,1015.3120727539062,-1668.4764404296875,131.86724853515625,1818.8040771484375
1717790535073895982,-206.9393056233724,39.44579950968424,2046.1577555338542,-353.115234375,81.8354721069336,1015.3486938476562,-1668.4758707682292,131.8515370686849,1818.8080240885417
1717790535073903741,-208.63047790527344,39.29713439941406,2046.09033203125,-353.115234375,81.8354721069336,1015.3486938476562,-1668.4753011067708,131.83582560221353,1818.8119710286458
1717790535073905831,-208.63047790527344,39.29713439941406,2046.09033203125,-353.115234375,81.8354721069336,1015.3486938476562,-1668.4747314453125,131.8201141357422,1818.81591796875
1717790535073928823,-208.63047790527344,39.29713439941406,2046.09033203125,-353.115234375,81.8354721069336,1015.3486938476562,-1668.4747314453125,131.8201141357422,1818.81591796875
1717790535073930864,-208.63047790527344,39.29713439941406,2046.09033203125,-355.7953592936198,80.53806813557942,1015.4284871419271,-1668.4747314453125,131.8201141357422,1818.81591796875
1717790535073932925,-210.39506022135416,39.02174758911133,2046.0679524739583,-358.47548421223956,79.24066416422527,1015.5082804361979,-1668.4747314453125,131.8201141357422,1818.81591796875
1717790535083180883,-212.1596425374349,38.746360778808594,2046.0455729166667,-361.1556091308594,77.9432601928711,1015.5880737304688,-1668.4807535807292,131.813720703125,1818.81982421875
1717790535083186876,-213.92422485351562,38.47097396850586,2046.023193359375,-361.1556091308594,77.9432601928711,1015.5880737304688,-1668.4867757161458,131.8073272705078,1818.82373046875
1717790535083189079,-213.92422485351562,38.47097396850586,2046.023193359375,-361.1556091308594,77.9432601928711,1015.5880737304688,-1668.4927978515625,131.80093383789062,1818.82763671875
1717790535083208700,-213.92422485351562,38.47097396850586,2046.023193359375,-361.1556091308594,77.9432601928711,1015.5880737304688,-1668.4927978515625,131.80093383789062,1818.82763671875
1717790535083210745,-213.92422485351562,38.47097396850586,2046.023193359375,-363.8178405761719,76.58494313557942,1015.5918375651041,-1668.4927978515625,131.80093383789062,1818.82763671875
1717790535083212906,-215.73456827799478,38.26126352945963,2046.0186360677083,-366.4800720214844,75.22662607828777,1015.5956013997396,-1668.4927978515625,131.80093383789062,1818.82763671875
1717790535093526055,-217.54491170247397,38.051553090413414,2046.0140787760417,-369.1423034667969,73.8683090209961,1015.599365234375,-1668.4908854166667,131.812744140625,1818.8280436197917
1717790535093533445,-219.35525512695312,37.84184265136719,2046.009521484375,-369.1423034667969,73.8683090209961,1015.599365234375,-1668.4889729817708,131.82455444335938,1818.8284505208333
1717790535093535503,-219.35525512695312,37.84184265136719,2046.009521484375,-369.1423034667969,73.8683090209961,1015.599365234375,-1668.487060546875,131.83636474609375,1818.828857421875
1717790535093556364,-219.35525512695312,37.84184265136719,2046.009521484375,-369.1423034667969,73.8683090209961,1015.599365234375,-1668.487060546875,131.83636474609375,1818.828857421875
1717790535093558744,-219.35525512695312,37.84184265136719,2046.009521484375,-371.07840728759766,72.87118530273438,1015.6534271240234,-1668.487060546875,131.83636474609375,1818.828857421875
1717790535093560740,-222.09418487548828,37.49629020690918,2046.0560913085938,-373.01451110839844,71.87406158447266,1015.7074890136719,-1668.487060546875,131.83636474609375,1818.828857421875
1717790535103450445,-224.83311462402344,37.15073776245117,2046.1026611328125,-374.9506149291992,70.87693786621094,1015.7615509033203,-1668.47900390625,131.84678268432617,1818.82275390625
1717790535103478151,-224.83311462402344,37.15073776245117,2046.1026611328125,-376.88671875,69.87981414794922,1015.8156127929688,-1668.470947265625,131.8572006225586,1818.816650390625
1717790535103480655,-224.83311462402344,37.15073776245117,2046.1026611328125,-376.88671875,69.87981414794922,1015.8156127929688,-1668.462890625,131.86761856079102,1818.810546875
1717790535103483016,-225.95933532714844,36.99803924560547,2046.14287109375,-376.88671875,69.87981414794922,1015.8156127929688,-1668.454833984375,131.87803649902344,1818.804443359375
1717790535103497056,-227.08555603027344,36.845340728759766,2046.1830810546876,-376.88671875,69.87981414794922,1015.8156127929688,-1668.454833984375,131.87803649902344,1818.804443359375
1717790535103499094,-228.21177673339844,36.69264221191406,2046.223291015625,-380.6659851074219,67.86738586425781,1015.8553161621094,-1668.454833984375,131.87803649902344,1818.804443359375
1717790535113422840,-229.33799743652344,36.53994369506836,2046.2635009765625,-384.44525146484375,65.8549575805664,1015.89501953125,-1668.458251953125,131.87677510579428,1818.8025716145833
1717790535113430035,-230.46421813964844,36.387245178222656,2046.3037109375,-384.44525146484375,65.8549575805664,1015.89501953125,-1668.461669921875,131.8755137125651,1818.8006998697917
1717790535113432288,-230.46421813964844,36.387245178222656,2046.3037109375,-384.44525146484375,65.8549575805664,1015.89501953125,-1668.465087890625,131.87425231933594,1818.798828125
1717790535113622261,-230.46421813964844,36.387245178222656,2046.3037109375,-384.44525146484375,65.8549575805664,1015.89501953125,-1668.465087890625,131.87425231933594,1818.798828125
1717790535113641498,-232.4095255533854,36.184698740641274,2046.4267171223958,-384.44525146484375,65.8549575805664,1015.89501953125,-1668.465087890625,131.87425231933594,1818.798828125
1717790535113643480,-234.3548329671224,35.9821523030599,2046.5497233072917,-386.92261759440106,64.45312881469727,1016.0348307291666,-1668.465087890625,131.87425231933594,1818.798828125
